k,inertia,silhouette
2,101185.0555,0.3791
3,78914.8215,0.3532
4,58712.3313,0.3862
5,45829.3034,0.3814
6,40712.2628,0.3898
7,36073.4776,0.3719
8,32085.5968,0.3774
