candidate,algorithm,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,test_tuned_accuracy,test_tuned_precision,test_tuned_recall,test_tuned_f1,test_tuned_roc_auc,test_tuned_pr_auc,tuned_threshold
rule_reference_daytime_risky_weather,Heuristic rule (no ML),0.9912,0.8901,0.9733,0.9298,0.9828,0.8679,0.9862,0.8099,0.9746,0.8846,0.9807,0.7906,,,,,,,
logistic_regression_v1,LogisticRegression (baseline),0.9889,0.8460,0.9962,0.9150,0.9995,0.9911,0.9891,0.8329,1.0000,0.9089,0.9992,0.9811,0.9959,0.9407,0.9859,0.9628,0.9992,0.9811,0.9103
random_forest_v1,RandomForestClassifier,0.9960,0.9553,0.9790,0.9670,0.9997,0.9953,0.9948,0.9188,0.9915,0.9538,0.9996,0.9930,0.9948,0.9396,0.9661,0.9526,0.9996,0.9930,0.5834
hist_gradient_boosting_v1,HistGradientBoostingClassifier,0.9952,0.9513,0.9695,0.9603,0.9997,0.9958,0.9949,0.9280,0.9831,0.9547,0.9996,0.9927,0.9962,0.9660,0.9633,0.9646,0.9996,0.9927,0.8186
hist_gradient_boosting_v2,HistGradientBoostingClassifier (tuned),0.9955,0.9450,0.9828,0.9635,0.9998,0.9967,0.9948,0.9167,0.9944,0.9539,0.9997,0.9942,0.9951,0.9351,0.9774,0.9558,0.9997,0.9942,0.8337
