experiment,run_id,tags.mlflow.runName,start_time,metrics.bias,metrics.congestion_rules,metrics.epochs_trained,metrics.frequent_itemsets,metrics.inertia_by_k,metrics.mae,metrics.mae_ratio,metrics.n_parameters,metrics.out_of_range_clouds_all,metrics.out_of_range_rain_1h,metrics.out_of_range_snow_1h,metrics.out_of_range_temp_c,metrics.psi_clouds_all,metrics.psi_predicted_volume,metrics.psi_temp_c,metrics.psi_traffic_volume,metrics.psi_weather_main,metrics.silhouette,metrics.silhouette_by_k,metrics.surrogate_lag_feature_share,metrics.test_accuracy,metrics.test_f1,metrics.test_mae,metrics.test_pr_auc,metrics.test_precision,metrics.test_r2,metrics.test_recall,metrics.test_rmse,metrics.test_roc_auc,metrics.test_tuned_accuracy,metrics.test_tuned_f1,metrics.test_tuned_pr_auc,metrics.test_tuned_precision,metrics.test_tuned_recall,metrics.test_tuned_roc_auc,metrics.top_rule_confidence,metrics.top_rule_lift,metrics.train_huber_loss,metrics.train_seconds,metrics.val_accuracy,metrics.val_f1,metrics.val_mae,metrics.val_mae_epoch,metrics.val_pr_auc,metrics.val_precision,metrics.val_r2,metrics.val_recall,metrics.val_rmse,metrics.val_roc_auc,params.C,params.alpha,params.batch_size,params.class_weight,params.decision_threshold_tuned,params.dropout,params.features,params.hidden_size,params.items,params.k_range,params.l2_regularization,params.lag_features,params.learning_rate,params.lookback_hours,params.loss,params.max_epochs,params.max_iter,params.max_leaf_nodes,params.max_len,params.min_confidence,params.min_samples_leaf,params.min_support,params.n_estimators,params.n_features,params.n_init,params.next_hour_features,params.num_layers,params.patience,params.rule,params.scaler,params.selected_k,params.sequence_features
traffic-monitoring,69516455184e4fb884fcc182f98f3aae,monitor_SIM: temperature feed in °F (Jul 2018),2026-09-14 09:19:33.722000+00:00,-21.486211764522583,,,,,194.7633704633669,0.8411544823719476,,0.0,0.0,0.0,1.0,0.040700134551911175,0.03188777428876655,8.277920309983294,0.015927806325665192,0.038286399637298144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
traffic-risk-classification,0105fa36761848a0bcd1686b06e0faa8,logistic_regression_v1,2026-09-14 09:16:18.718000+00:00,,,,,,,,,,,,,,,,,,,,,0.989132098576458,0.9088575096277278,,0.9810944926024439,0.8329411764705882,,1.0,,0.999179378302488,0.9958671360783713,0.9627586206896551,0.9810944926024439,0.9407008086253369,0.9858757062146892,0.999179378302488,,,,0.08597850002115592,0.9888672099162171,0.9149868536371604,,,0.991138780357183,0.8460291734197731,,0.9961832061068703,,0.9995066459475054,1.0,,,balanced,0.9103,,,,,,,,,,,,,,,,,,,32,,,,,,StandardScaler,,
traffic-risk-classification,d17006351a504494ab31c454d51fa9cf,random_forest_v1,2026-09-14 09:16:29.183000+00:00,,,,,,,,,,,,,,,,,,,,,0.9947956528394306,0.9538043478260869,,0.9929833736086286,0.918848167539267,,0.9915254237288136,,0.9996100332546085,0.9947956528394306,0.9526462395543176,0.9929833736086286,0.9395604395604396,0.9661016949152542,0.9996100332546085,,,,0.7055111000081524,0.9959830138872948,0.9670122525918945,,,0.9953494075985897,0.9553072625698324,,0.9790076335877863,,0.9996835263092643,,,,balanced_subsample,0.5834,,,,,,,,,,,,,512,,,5,,200,32,,,,,,,,
traffic-risk-classification,54ec6e54878c4b9789821ce59092382e,hist_gradient_boosting_v1,2026-09-14 09:16:36.998000+00:00,,,,,,,,,,,,,,,,,,,,,0.994948721873565,0.9547325102880658,,0.9927420530157475,0.928,,0.9830508474576272,,0.9995995183247798,0.9961732741466401,0.9646393210749646,0.9927420530157475,0.9660056657223796,0.963276836158192,0.9995995183247798,,,,0.3243699999875389,0.9951796166647539,0.9603024574669187,,,0.9958374955411895,0.951310861423221,,0.9694656488549618,,0.9997232603035724,,,,balanced,0.8186,,,,,,,,0.1,,,,200,31,,,,,,32,,,,,,,,
traffic-risk-classification,3d609e9b733440559a7d42c243ef85de,hist_gradient_boosting_v2,2026-09-14 09:16:45.058000+00:00,,,,,,,,,,,,,,,,,,,,,0.9947956528394306,0.9539295392953929,,0.9941664865695374,0.9166666666666666,,0.9943502824858758,,0.9996738085898745,0.9951017909076993,0.9558011049723757,0.9941664865695374,0.9351351351351351,0.9774011299435028,0.9996738085898745,,,,0.43152549999649636,0.9955239297601285,0.9635173058933583,,,0.9967262355162609,0.944954128440367,,0.982824427480916,,0.9997758117153993,,,,balanced,0.8337,,,,,,1.0,,0.05,,,,500,15,,,40,,,32,,,,,,,,
traffic-risk-classification,425df315cadc4254a47c292b683e4c62,rule_reference_daytime_risky_weather,2026-09-14 09:16:51.889000+00:00,,,,,,,,,,,,,,,,,,,,,0.9862237869279045,0.8846153846153846,,0.7906471367046791,0.8098591549295775,,0.9745762711864406,,0.9807336769429533,,,,,,,,,,,0.9911626305520487,0.9298085688240656,,,0.867879125686839,0.8900523560209425,,0.9732824427480916,,0.9827945978546907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,risky_weather AND 06:00<=hour<=18:59,,,
traffic-unsupervised,55e67bfd88014317bbd5d6dc947d192e,kmeans_traffic_conditions,2026-09-14 09:17:32.948000+00:00,,,,,32085.59682407079,,,,,,,,,,,,,0.3862074331162348,0.3774349872935646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"hour_sin,hour_cos,weather_severity,traffic_volume",,,2-8,,,,,,,,,,,,,,,20,,,,,StandardScaler,4,
traffic-unsupervised,4d1d84b064c74c23a7cd3d6cae74d6e5,apriori_congestion_rules,2026-09-14 09:17:33.951000+00:00,,88.0,,908.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.951092611862643,3.803526781621007,,,,,,,,,,,,,,,,,,,,,"time, day type, weather group, temperature band, congestion",,,,,,,,,,4,0.5,,0.005,,,,,,,,,,
traffic-volume-lstm,2f7df57deefc4692b991fbac11d9d991,hgb_lag_surrogate,2026-09-14 09:17:34.420000+00:00,,,,,,,,,,,,,,,,,,,,,,,139.0226757591112,,,0.9879688300710677,,216.57684561368305,,,,,,,,,,,1.6335468999750447,,,149.53837060517222,,,,0.9858552609920554,,235.8304440679521,,,,,,,,38,,,,,"lag_1,lag_2,lag_3,lag_24,rolling_mean_24,rolling_std_24",,,,,,,,,,,,,,,,,,,,
traffic-volume-lstm,4348cef573314a64bc3fca2e02ffcaed,lstm_v1_small,2026-09-14 09:17:37.569000+00:00,,,15.0,,,,,8513.0,,,,,,,,,,,,,,,156.1634979248047,,,0.9860512018203735,,233.19876098632812,,,,,,,,,,0.008343141258652207,18.24724709999282,,,168.52037048339844,170.31336975097656,,,0.9834897518157959,,254.78793334960938,,,,256,,,0.0,,32,,,,,0.002,24,Huber,40,,,,,,,,,,"hour_sin,hour_cos,dow_sin,dow_cos,is_weekend,is_holiday,is_rush_hour,temp_c,weather_severity,is_precipitation,is_low_visibility",1,5,,,,"traffic_volume,hour_sin,hour_cos,dow_sin,dow_cos,is_holiday,temp_c,weather_severity,is_precipitation,clouds_all"
traffic-volume-lstm,d87ea786bdae43b5ace5d6bf6e19024a,lstm_v2_stacked,2026-09-14 09:18:00.508000+00:00,,,26.0,,,,,57665.0,,,,,,,,,,,,,,,158.23721313476562,,,0.9850148558616638,,241.7067108154297,,,,,,,,,,0.013832891214523526,80.47945959999925,,,169.2821044921875,170.4584503173828,,,0.9827508926391602,,260.4267578125,,,,256,,,0.2,,64,,,,,0.001,24,Huber,40,,,,,,,,,,"hour_sin,hour_cos,dow_sin,dow_cos,is_weekend,is_holiday,is_rush_hour,temp_c,weather_severity,is_precipitation,is_low_visibility",2,5,,,,"traffic_volume,hour_sin,hour_cos,dow_sin,dow_cos,is_holiday,temp_c,weather_severity,is_precipitation,clouds_all"
traffic-volume-lstm,fcc8a93bb6524fb6999d9569dd5a6e19,shap_explainability,2026-09-14 09:19:25.805000+00:00,,,,,,,,,,,,,,,,,,,,0.581656888880784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
traffic-volume-regression,81b5b7c86f2d46869053dd4e1e874ab7,ridge_regression_v1,2026-09-14 09:16:52.433000+00:00,,,,,,,,,,,,,,,,,,,,,,,550.0727452809936,,,0.8710525630292175,,709.0083551775518,,,,,,,,,,,0.02433109999401495,,,569.9858266694807,,,,0.8656354966469507,,726.6896769122271,,,1.0,,,,,,,,,,,,,,,,,,,,,,32,,,,,,StandardScaler,,
traffic-volume-regression,62abef6f30bb458eada35cd8667f8e2d,random_forest_v1,2026-09-14 09:16:58.413000+00:00,,,,,,,,,,,,,,,,,,,,,,,218.27107816305633,,,0.9649867624901001,,369.45464474234365,,,,,,,,,,,2.013704200013308,,,231.75915672283082,,,,0.9669936865799279,,360.1680834389968,,,,,,,,,,,,,,,,,,,512,,,5,,200,32,,,,,,,,
traffic-volume-regression,9e25d9cd785f4dd9b8a6d46b27e5c1e8,hist_gradient_boosting_v1,2026-09-14 09:17:08.498000+00:00,,,,,,,,,,,,,,,,,,,,,,,217.31660463770268,,,0.9660363215302563,,363.8751155330456,,,,,,,,,,,0.6474040999892168,,,231.5429264719118,,,,0.965995372946494,,365.57435569281546,,,,,,,,,,,,,,0.1,,,,200,31,,,,,,32,,,,,,,,
traffic-volume-regression,a7b9ade69a09438a880b31d2a4900c0c,hist_gradient_boosting_v2,2026-09-14 09:17:15.921000+00:00,,,,,,,,,,,,,,,,,,,,,,,221.49769051600708,,,0.9654944685727047,,366.7662426564358,,,,,,,,,,,2.420618700009072,,,240.1157639670428,,,,0.964218845856499,,375.0022622346114,,,,,,,,,,,,1.0,,0.05,,,,600,63,,,30,,,32,,,,,,,,
